32,32,100,21,6773,6794
32,32,100,17,5792,5809
32,32,100,22,4868,4890
32,32,100,16,5449,5465
32,32,100,21,5789,5810
32,32,100,16,5912,5928
32,32,100,16,6304,6320
32,32,100,17,5569,5586
32,32,100,21,5230,5251
32,32,100,17,5838,5855
64,64,100,84,25264,25348
64,64,100,62,22430,22492
64,64,100,71,22306,22377
64,64,100,82,23140,23222
64,64,100,85,41122,41207
64,64,100,99,21216,21315
64,64,100,92,33073,33165
64,64,100,79,23818,23897
64,64,100,62,20664,20726
64,64,100,63,21391,21454
128,128,100,277,85513,85790
128,128,100,253,89691,89944
128,128,100,254,88838,89092
128,128,100,256,90193,90449
128,128,100,247,97258,97505
128,128,100,353,96863,97216
128,128,100,406,102539,102945
128,128,100,245,89554,89799
128,128,100,253,87853,88106
128,128,100,285,90998,91283
256,256,100,1126,349641,350767
256,256,100,1034,354858,355892
256,256,100,1784,371158,372942
256,256,100,1012,356865,357877
256,256,100,1196,390232,391428
256,256,100,1047,347069,348116
256,256,100,1019,360425,361444
256,256,100,1045,356185,357230
256,256,100,1036,356250,357286
256,256,100,1047,350617,351664
512,512,100,4463,1409035,1413498
512,512,100,4693,1416319,1421012
512,512,100,4224,1395581,1399805
512,512,100,4733,1448436,1453169
512,512,100,4290,1436342,1440632
512,512,100,4276,1407089,1411365
512,512,100,4642,1417063,1421705
512,512,100,4428,1463121,1467549
512,512,100,5130,1394900,1400030
512,512,100,4357,1394059,1398416
1024,1024,100,23218,5621799,5645017
1024,1024,100,19064,5595034,5614098
1024,1024,100,18623,5596679,5615302
1024,1024,100,17193,5556226,5573419
1024,1024,100,17000,5551780,5568780
1024,1024,100,16572,5604463,5621035
1024,1024,100,17763,5548482,5566245
1024,1024,100,17735,5955853,5973588
1024,1024,100,18025,5701650,5719675
1024,1024,100,17705,5742804,5760509
2048,2048,100,94241,22714576,22808817
2048,2048,100,70660,23055968,23126628
2048,2048,100,72105,22689531,22761636
2048,2048,100,71809,22494686,22566495
2048,2048,100,70207,22851937,22922144
2048,2048,100,71281,22615691,22686972
2048,2048,100,71550,22428674,22500224
2048,2048,100,70846,22431846,22502692
2048,2048,100,78195,22795959,22874154
2048,2048,100,73323,21971837,22045160
